Reference,Distorted,Metric,Metric_val,Mask
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_vp9_mv_offline_2k_tourist_63.mp4,vmaf,67.706,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_25.mp4,vmaf,87.229,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_31.mp4,vmaf,75.054,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_37.mp4,vmaf,53.06,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x265_mv_offline_2k_tourist_30.mp4,vmaf,86.954,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x265_mv_offline_2k_tourist_35.mp4,vmaf,76.214,False
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_30.mp4,vmaf,89.457,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_35.mp4,vmaf,85.896,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_41.mp4,vmaf,77.932,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,vmaf,97.149,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,vmaf,92.93,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,vmaf,84.721,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v3_mv_offline_2k_tourist_26.mp4,vmaf,89.91,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v3_mv_offline_2k_tourist_30.mp4,vmaf,85.791,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_kingsoft_v3_mv_offline_2k_tourist_35.mp4,vmaf,76.51,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_av1_mv_offline_2k_tourist_40.mp4,vmaf,89.321,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_av1_mv_offline_2k_tourist_50.mp4,vmaf,84.943,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_av1_mv_offline_2k_tourist_58.mp4,vmaf,78.641,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_hevc_mv_offline_2k_tourist_27.mp4,vmaf,89.327,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_hevc_mv_offline_2k_tourist_32.mp4,vmaf,83.038,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_hevc_mv_offline_2k_tourist_38.mp4,vmaf,69.719,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_vp9_mv_offline_2k_tourist_47.mp4,vmaf,85.725,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_vp9_mv_offline_2k_tourist_57.mp4,vmaf,77.975,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_svt_vp9_mv_offline_2k_tourist_63.mp4,vmaf,67.344,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_25.mp4,vmaf,87.144,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_31.mp4,vmaf,74.917,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x264_mv_offline_2k_tourist_37.mp4,vmaf,52.899,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x265_mv_offline_2k_tourist_30.mp4,vmaf,86.864,True
enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x265_mv_offline_2k_tourist_35.mp4,vmaf,76.082,True
enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,psnr,29.093,False
